,pdbid,predicted,real,set
0,2v7a,6.954441,8.3,test2016
1,4dld,7.5685444,5.82,test2016
2,3l7b,3.9155226,2.4,test2016
3,3zdg,5.8215733,7.1,test2016
4,2xys,7.8390303,7.42,test2016
5,3b65,9.087398,9.27,test2016
6,3dd0,8.302369,9.0,test2016
7,3d4z,6.036058,4.89,test2016
8,1owh,6.8362017,7.4,test2016
9,2x00,8.513021,11.33,test2016
10,4tmn,7.163474,10.17,test2016
11,3b5r,8.184363,8.77,test2016
12,1z6e,8.746816,9.72,test2016
13,3acw,6.0634165,4.76,test2016
14,3rsx,4.362449,4.41,test2016
15,1uto,2.956689,2.27,test2016
16,3fur,7.2929363,8.0,test2016
17,4u4s,4.4110894,2.92,test2016
18,2wbg,5.657918,4.45,test2016
19,3n86,6.005234,5.64,test2016
20,1bcu,3.211247,3.28,test2016
21,1w4o,4.9404993,5.22,test2016
22,4ciw,5.842916,4.82,test2016
23,4wiv,6.6211543,6.26,test2016
24,3coz,6.7996264,5.57,test2016
25,3ueu,5.69835,5.24,test2016
26,3n7a,4.040283,3.7,test2016
27,3ryj,7.8851833,7.8,test2016
28,2xb8,4.995325,7.59,test2016
29,3dxg,4.0447974,2.4,test2016
30,2wvt,6.2062287,6.12,test2016
31,3gr2,2.499715,2.52,test2016
32,2c3i,7.1554346,7.6,test2016
33,4ih5,3.7895052,4.11,test2016
34,3fcq,4.930234,2.77,test2016
35,4j28,7.3054457,5.7,test2016
36,2wca,5.93773,5.6,test2016
37,1o3f,7.4245768,7.96,test2016
38,3ao4,3.5174716,2.07,test2016
39,3kgp,2.8302073,2.57,test2016
40,3gv9,2.646375,2.12,test2016
41,4ddk,3.201739,2.29,test2016
42,2xii,8.4742985,7.2,test2016
43,4f09,6.03742,6.7,test2016
44,1nc3,6.0977163,5.0,test2016
45,2xj7,6.2692785,6.66,test2016
46,1s38,5.0175323,5.15,test2016
47,3u9q,4.377206,4.38,test2016
48,4m0z,6.2462015,5.19,test2016
49,3aru,4.389582,3.22,test2016
50,3u8n,7.901908,10.17,test2016
51,1syi,5.0652084,5.44,test2016
52,5tmn,6.639869,8.04,test2016
53,4bkt,3.8300583,3.62,test2016
54,3arv,5.2935762,5.64,test2016
55,4f9w,6.919201,6.94,test2016
56,1k1i,5.9900613,6.58,test2016
57,1g2k,7.99665,7.96,test2016
58,3mss,4.0432677,4.66,test2016
59,1q8t,5.7812386,4.76,test2016
60,2qbq,6.871989,7.44,test2016
61,3coy,6.6148796,6.02,test2016
62,4mgd,6.136056,4.69,test2016
63,3gy4,3.9622371,5.1,test2016
64,3up2,7.0919747,7.4,test2016
65,1z95,8.331674,7.12,test2016
66,2brb,4.919078,4.86,test2016
67,4jxs,5.77153,4.74,test2016
68,3pxf,4.5533686,4.43,test2016
69,2wn9,5.973426,8.52,test2016
70,4k18,8.368041,8.96,test2016
71,3tsk,7.7771974,7.17,test2016
72,3u8k,6.84093,8.66,test2016
73,3u5j,5.268589,5.61,test2016
74,4rfm,8.01051,10.05,test2016
75,4eky,4.727253,3.52,test2016
76,4f2w,9.951478,11.3,test2016
