,pdbid,predicted,real,set
0,3bgq,7.975359,7.96,testcsar
1,3b3c,5.35554,3.98,testcsar
2,1qxl,7.6440854,7.96,testcsar
3,1f74,4.613781,3.05,testcsar
4,2fqw,4.6382103,6.68,testcsar
5,2reg,3.5030065,5.64,testcsar
6,1fcx,7.7675543,7.19,testcsar
7,1y20,4.8694315,5.32,testcsar
8,1bky,4.1111956,3.84,testcsar
9,2z4b,8.475508,9.36,testcsar
10,1a8i,5.047806,5.52,testcsar
11,2p98,6.7145214,6.19,testcsar
12,1gi9,6.0179715,5.22,testcsar
13,1urg,5.3003983,5.82,testcsar
14,2qi5,9.213641,10.85,testcsar
15,2i0a,10.641788,11.4,testcsar
16,1e2k,5.033412,4.94,testcsar
17,2qdt,4.0835476,5.19,testcsar
18,3fas,4.876358,6.77,testcsar
19,1v1j,4.6841435,4.82,testcsar
20,2cli,4.798011,4.3,testcsar
21,2azr,3.9229472,3.64,testcsar
22,2d2v,1.5418665,1.0,testcsar
23,2j2u,8.414213,7.33,testcsar
24,2b07,5.960037,6.43,testcsar
25,1pxp,6.6922216,6.66,testcsar
26,2hdr,2.4736578,1.72,testcsar
27,3dp4,7.5155497,7.37,testcsar
28,2d3z,5.889184,6.64,testcsar
29,2h15,7.5031786,5.67,testcsar
30,1d4j,7.502667,8.36,testcsar
31,2uwp,8.651051,6.81,testcsar
32,2zmm,6.8248563,7.6,testcsar
33,2qrk,3.6251764,4.26,testcsar
34,2pyy,4.376686,4.6,testcsar
35,2nsl,4.2155485,4.68,testcsar
36,2gz2,3.6838768,5.22,testcsar
37,2boh,9.42404,8.52,testcsar
38,3ccz,8.245475,7.29,testcsar
39,1lnm,6.642866,8.7,testcsar
40,1vot,7.1701126,6.6,testcsar
41,2c1q,6.6828756,13.0,testcsar
42,2fqy,4.1272054,6.57,testcsar
43,1bcj,3.5152037,3.7,testcsar
44,1zhy,8.584142,6.52,testcsar
45,1rdi,2.3190453,2.06,testcsar
46,2p7g,6.850503,6.53,testcsar
47,2qu6,8.152106,8.52,testcsar
48,2p09,6.8457146,6.35,testcsar
49,2fpz,3.6435182,3.96,testcsar
50,2qrl,3.329357,4.0,testcsar
51,3bex,3.9426048,5.57,testcsar
52,1s50,5.864925,7.2,testcsar
53,2pwd,4.748229,4.4,testcsar
54,1tog,3.9265802,3.22,testcsar
55,1uz4,4.677952,3.4,testcsar
56,2w26,7.7135687,9.4,testcsar
57,2qmg,8.40129,9.15,testcsar
58,3c2o,3.9541965,3.35,testcsar
59,2o4j,8.893904,10.1,testcsar
60,2oym,4.5350585,5.0,testcsar
61,2ff1,7.225555,8.21,testcsar
62,3bxe,4.894903,5.48,testcsar
63,1i7z,6.0972824,6.4,testcsar
64,2buv,3.3455698,4.0,testcsar
65,2fx6,3.7207668,3.7,testcsar
66,2fqx,4.0706177,7.15,testcsar
67,2r75,5.620635,6.15,testcsar
68,3ccw,7.491459,7.87,testcsar
69,1sw1,6.1179266,7.3,testcsar
70,1d4i,10.240051,8.85,testcsar
71,1p1o,7.369007,5.76,testcsar
72,1lhw,9.197628,9.08,testcsar
73,2ojg,6.7959337,5.64,testcsar
74,2gkl,4.1561227,5.35,testcsar
75,2pov,8.175694,7.12,testcsar
